currency,date,rate,pct_change,rolling_vol_7d
AED,2025-12-01,3.6725,,
AED,2025-12-02,3.6725,0.0,
AED,2025-12-03,3.6725,0.0,0.0
AED,2025-12-07,3.6725,0.0,0.0
AED,2025-12-08,3.6725,0.0,0.0
AED,2025-12-15,3.6725,0.0,0.0
AED,2025-12-16,3.6725,0.0,0.0
AED,2025-12-17,3.6725,0.0,0.0
AED,2025-12-18,3.6725,0.0,0.0
AED,2025-12-22,3.673,0.013614703880193701,0.005145874377254093
AED,2025-12-23,3.67295,-0.0013612850530919651,0.005256167665649384
AED,2026-01-02,3.6727,-0.006806517921564836,0.006182010932708354
AED,2026-01-05,3.6725,-0.005445584991969898,0.006623145534350334
AED,2026-01-06,3.6725,0.0,0.006623145534350334
AED,2026-01-07,3.6725,0.0,0.006623145534350334
AED,2026-01-08,3.6725,0.0,0.006623145534350334
AED,2026-01-09,3.6725,0.0,0.00292578407028808
AED,2026-01-12,3.6726,0.0027229407760342994,0.0034260121517840324
AED,2026-01-13,3.6725,-0.002722866633997345,0.0025899349465580974
AED,2026-01-14,3.6725,0.0,0.001572069187172385
AED,2026-01-15,3.6725,0.0,0.001572069187172385
AED,2026-01-16,3.6725,0.0,0.001572069187172385
AED,2026-01-19,3.6725,0.0,0.001572069187172385
AED,2026-01-20,3.6725,0.0,0.001572069187172385
AED,2026-01-21,3.6725,0.0,0.0010291468523932186
AED,2026-01-22,3.6725,0.0,0.0
AED,2026-01-23,3.6725,0.0,0.0
AED,2026-01-26,3.6725,0.0,0.0
AED,2026-01-27,3.6725,0.0,0.0
AED,2026-01-28,3.6725,0.0,0.0
AFN,2025-12-01,66.254599,,
AFN,2025-12-02,66.418566,0.2474801786967351,
AFN,2025-12-03,66.266894,-0.2283578359701499,0.33646828691729824
AFN,2025-12-07,66.097111,-0.25621089167088273,0.283108431312712
AFN,2025-12-08,66.104423,0.01106251073514919,0.23550527082860312
AFN,2025-12-15,66.148191,0.06621039563419195,0.21120827920502958
AFN,2025-12-16,66.239126,0.1374716354677119,0.2011761408271671
AFN,2025-12-17,66.288865,0.07509006081993785,0.18604814568583616
AFN,2025-12-18,66.340273,0.07755148621113594,0.15858070350882023
AFN,2025-12-22,65.999998,-0.5129237258339137,0.2383046909972044
AFN,2025-12-23,65.500004,-0.7575666896232347,0.3548571347210704
AFN,2026-01-02,65.780997,0.42899692036659776,0.41278410247592245
AFN,2026-01-05,66.017506,0.3595400051476849,0.442643400956365
AFN,2026-01-06,66.148658,0.19866245780324476,0.4470246942125885
AFN,2026-01-07,66.238019,0.13509117599936893,0.44968933985385395
AFN,2026-01-08,65.582001,-0.9903949573129456,0.577884683504804
AFN,2026-01-09,65.749999,0.25616479741141784,0.5732842008388942
AFN,2026-01-12,66.000003,0.38023422631534576,0.4962827116996805
AFN,2026-01-13,66.000003,0.0,0.4763786872110972
AFN,2026-01-14,65.500004,-0.7575742079890535,0.5379416573667176
AFN,2026-01-15,65.0,-0.7633648388784886,0.5676762850640533
AFN,2026-01-16,65.5,0.7692307692307665,0.6788208689457753
AFN,2026-01-19,65.5,0.0,0.5710603505607335
