id,timestamp_utc,base,currency,rate
119,2025-12-01T16:00:00,USD,RON,4.3754
120,2025-12-01T16:00:00,USD,RSD,100.907
121,2025-12-01T16:00:00,USD,RUB,77.728995
122,2025-12-01T16:00:00,USD,RWF,1454.475965
123,2025-12-01T16:00:00,USD,SAR,3.752958
124,2025-12-01T16:00:00,USD,SBD,8.230592
125,2025-12-01T16:00:00,USD,SCR,14.423097
126,2025-12-01T16:00:00,USD,SDG,601.5
127,2025-12-01T16:00:00,USD,SEK,9.42728
128,2025-12-01T16:00:00,USD,SGD,1.295025
129,2025-12-01T16:00:00,USD,SHP,0.754593
130,2025-12-01T16:00:00,USD,SLE,22.96
131,2025-12-01T16:00:00,USD,SLL,20969.5
132,2025-12-01T16:00:00,USD,SOS,570.303604
133,2025-12-01T16:00:00,USD,SRD,38.5345
134,2025-12-01T16:00:00,USD,SSP,130.26
135,2025-12-01T16:00:00,USD,STD,22281.8
136,2025-12-01T16:00:00,USD,STN,21.061862
137,2025-12-01T16:00:00,USD,SVC,8.74626
138,2025-12-01T16:00:00,USD,SYP,13002.0
139,2025-12-01T16:00:00,USD,SZL,17.0816
140,2025-12-01T16:00:00,USD,THB,31.9895
141,2025-12-01T16:00:00,USD,TJS,9.231371
142,2025-12-01T16:00:00,USD,TMT,3.51
143,2025-12-01T16:00:00,USD,TND,2.946082
144,2025-12-01T16:00:00,USD,TOP,2.40776
145,2025-12-01T16:00:00,USD,TRY,42.431255
146,2025-12-01T16:00:00,USD,TTD,6.775902
147,2025-12-01T16:00:00,USD,TWD,31.411001
148,2025-12-01T16:00:00,USD,TZS,2459.535
149,2025-12-01T16:00:00,USD,UAH,42.349438
150,2025-12-01T16:00:00,USD,UGX,3598.571905
151,2025-12-01T16:00:00,USD,USD,1.0
152,2025-12-01T16:00:00,USD,UYU,39.283503
153,2025-12-01T16:00:00,USD,UZS,11936.29283
154,2025-12-01T16:00:00,USD,VES,245.362514
155,2025-12-01T16:00:00,USD,VND,26374.786164
156,2025-12-01T16:00:00,USD,VUV,122.16
157,2025-12-01T16:00:00,USD,WST,2.816
158,2025-12-01T16:00:00,USD,XAF,564.075818
159,2025-12-01T16:00:00,USD,XAG,0.0173376
160,2025-12-01T16:00:00,USD,XAU,0.00023626
161,2025-12-01T16:00:00,USD,XCD,2.70255
162,2025-12-01T16:00:00,USD,XCG,1.80152
163,2025-12-01T16:00:00,USD,XDR,0.702961
164,2025-12-01T16:00:00,USD,XOF,564.075818
165,2025-12-01T16:00:00,USD,XPD,0.00069191
166,2025-12-01T16:00:00,USD,XPF,102.616711
167,2025-12-01T16:00:00,USD,XPT,0.00060097
168,2025-12-01T16:00:00,USD,YER,238.300078
169,2025-12-01T16:00:00,USD,ZAR,17.07371
170,2025-12-01T16:00:00,USD,ZMW,22.916166
171,2025-12-01T16:00:00,USD,ZWG,26.407
172,2025-12-01T16:00:00,USD,ZWL,322.0
173,2025-12-01T16:00:00,USD,AED,3.6725
174,2025-12-01T16:00:00,USD,AFN,66.254599
175,2025-12-01T16:00:00,USD,ALL,83.018108
176,2025-12-01T16:00:00,USD,AMD,380.832949
177,2025-12-01T16:00:00,USD,ANG,1.79
178,2025-12-01T16:00:00,USD,AOA,911.545
179,2025-12-01T16:00:00,USD,ARS,1449.8436
180,2025-12-01T16:00:00,USD,AUD,1.525815
181,2025-12-01T16:00:00,USD,AWG,1.8
182,2025-12-01T16:00:00,USD,AZN,1.7
183,2025-12-01T16:00:00,USD,BAM,1.681338
184,2025-12-01T16:00:00,USD,BBD,2.0
185,2025-12-01T16:00:00,USD,BDT,122.055615
186,2025-12-01T16:00:00,USD,BGN,1.680805
187,2025-12-01T16:00:00,USD,BHD,0.377016
188,2025-12-01T16:00:00,USD,BIF,2946.844018
189,2025-12-01T16:00:00,USD,BMD,1.0
190,2025-12-01T16:00:00,USD,BND,1.294574
191,2025-12-01T16:00:00,USD,BOB,6.932361
192,2025-12-01T16:00:00,USD,BRL,5.344487
193,2025-12-01T16:00:00,USD,BSD,1.0
194,2025-12-01T16:00:00,USD,BTC,1.1814233e-05
195,2025-12-01T16:00:00,USD,BTN,89.495719
196,2025-12-01T16:00:00,USD,BWP,13.341185
197,2025-12-01T16:00:00,USD,BYN,2.901379
198,2025-12-01T16:00:00,USD,BZD,2.010419
199,2025-12-01T16:00:00,USD,CAD,1.396534
200,2025-12-01T16:00:00,USD,CDF,2279.846497
201,2025-12-01T16:00:00,USD,CHF,0.802337
202,2025-12-01T16:00:00,USD,CLF,0.02363
203,2025-12-01T16:00:00,USD,CLP,926.85
204,2025-12-01T16:00:00,USD,CNH,7.07011
205,2025-12-01T16:00:00,USD,CNY,7.0718
206,2025-12-01T16:00:00,USD,COP,3767.92
207,2025-12-01T16:00:00,USD,CRC,492.245868
208,2025-12-01T16:00:00,USD,CUC,1.0
209,2025-12-01T16:00:00,USD,CUP,25.75
210,2025-12-01T16:00:00,USD,CVE,94.792916
211,2025-12-01T16:00:00,USD,CZK,20.774343
212,2025-12-01T16:00:00,USD,DJF,178.002868
213,2025-12-01T16:00:00,USD,DKK,6.422581
214,2025-12-01T16:00:00,USD,DOP,62.454866
215,2025-12-01T16:00:00,USD,DZD,130.014678
216,2025-12-01T16:00:00,USD,EGP,47.525442
217,2025-12-01T16:00:00,USD,ERN,15.0
218,2025-12-01T16:00:00,USD,ETB,156.104884
219,2025-12-01T16:00:00,USD,EUR,0.859928
220,2025-12-01T16:00:00,USD,FJD,2.26865
221,2025-12-01T16:00:00,USD,FKP,0.754593
222,2025-12-01T16:00:00,USD,GBP,0.754593
223,2025-12-01T16:00:00,USD,GEL,2.7
224,2025-12-01T16:00:00,USD,GGP,0.754593
225,2025-12-01T16:00:00,USD,GHS,11.325264
226,2025-12-01T16:00:00,USD,GIP,0.754593
227,2025-12-01T16:00:00,USD,GMD,72.50001
228,2025-12-01T16:00:00,USD,GNF,8685.307074
229,2025-12-01T16:00:00,USD,GTQ,7.66136
230,2025-12-01T16:00:00,USD,GYD,209.13131
231,2025-12-01T16:00:00,USD,HKD,7.788475
232,2025-12-01T16:00:00,USD,HNL,26.322168
233,2025-12-01T16:00:00,USD,HRK,6.479424
