date,close_AAPL,high_AAPL,low_AAPL,open_AAPL,volume_AAPL,ticker,daily_return,rolling_vol_20,sma_20,sma_50,sma_200,rsi_14,macd,macd_signal,macd_hist,close_MSFT,high_MSFT,low_MSFT,open_MSFT,volume_MSFT,close_GOOGL,high_GOOGL,low_GOOGL,open_GOOGL,volume_GOOGL,close_AMZN,high_AMZN,low_AMZN,open_AMZN,volume_AMZN
2020-01-02,72.46826171875,72.52858156247073,71.22325926076245,71.4765996590847,135480400.0,AAPL,,,72.46826171875,72.46826171875,72.46826171875,,0.0,0.0,0.0,,,,,,,,,,,,,,,
2020-01-03,71.76373291015625,72.52376157647284,71.5393448267866,71.69617497011174,146322800.0,AAPL,-0.009721894687194643,,72.11599731445312,72.11599731445312,72.11599731445312,0.0,-0.05620172832085757,-0.011240345664171515,-0.044961382656686054,,,,,,,,,,,,,,,
2020-01-06,72.33556365966797,72.37416924858576,70.63454677653742,70.88547942287144,118387200.0,AAPL,0.007968241426733025,0.012508815206271295,72.1891860961914,72.1891860961914,72.1891860961914,5.8765601686656055,-0.05397781774715327,-0.019787840080767866,-0.0341899776663854,,,,,,,,,,,,,,,
2020-01-07,71.99535369873047,72.60095990158051,71.77578859164102,72.34520436217124,108872000.0,AAPL,-0.004703218496204142,0.009116778698439356,72.14072799682617,72.14072799682617,72.14072799682617,5.6633249804255,-0.07875956198502365,-0.03158218446161902,-0.04717737752340463,,,,,,,,,,,,,,,
2020-01-08,73.15350341796875,73.4551026743299,71.69858889981313,71.69858889981313,132079200.0,AAPL,0.016086450857434986,0.011771718576611523,72.3432830810547,72.3432830810547,72.3432830810547,16.739213149176692,-0.004889901810670949,-0.026243727931429407,0.021353826120758458,,,,,,,,,,,,,,,
2020-01-09,74.70735168457031,74.90037228480348,73.87976500025633,74.13069030790666,170108400.0,AAPL,0.021240927556449574,0.013223857610007151,72.73729451497395,72.73729451497395,72.73729451497395,28.81499126302215,0.1769946213233311,0.014403941919522698,0.1625906794038084,,,,,,,,,,,,,,,
2020-01-10,74.87623596191406,75.4408362602049,74.37437802964394,74.94138611501243,140644800.0,AAPL,0.002260611218783515,0.011935195664452962,73.04285757882255,73.04285757882255,73.04285757882255,30.00326821101406,0.3309519579107558,0.07771354511776932,0.25323841279298653,,,,,,,,,,,,,,,
2020-01-13,76.47589874267578,76.50244329938738,75.07406634437707,75.19229822984673,121532000.0,AAPL,0.02136409182715049,0.012432264604720326,73.4719877243042,73.4719877243042,73.4719877243042,40.187834905971314,0.5754106974868876,0.17725297559159298,0.3981577218952946,,,,,,,,,,,,,,,
2020-01-14,75.4432373046875,76.62309704687446,75.3201898237738,76.41318515734736,161954400.0,AAPL,-0.013503096465240061,0.013752420592031418,73.6910154554579,73.6910154554579,73.6910154554579,36.49613901052697,0.6780032625291028,0.27740303297909497,0.40060022955000785,,,,,,,,,,,,,,,
2020-01-15,75.11991119384766,76.12363416339696,74.68801909995545,75.24296601736016,121923600.0,AAPL,-0.004285687125726745,0.013241072133878326,73.83390502929687,73.83390502929687,73.83390502929687,35.399665927692226,0.7248631235917173,0.36689505110161946,0.3579680724900979,,,,,,,,,,,,,,,
2020-01-16,76.06092834472656,76.17192218872837,75.30089958102596,75.66281874119426,108829200.0,AAPL,0.01252686719038576,0.012766472897781553,74.03636169433594,74.03636169433594,74.03636169433594,40.95927410397702,0.8283830367611102,0.45919264823351763,0.3691903885275926,,,,,,,,,,,,,,,
2020-01-17,76.90299224853516,76.90540003571786,76.00301736044453,76.30943957331336,137816400.0,AAPL,0.011070912781818265,0.012252357108168051,74.27524757385254,74.27524757385254,74.27524757385254,45.48085834350133,0.967221308217475,0.5607983802303091,0.40642292798716584,,,,,,,,,,,,,,,
2020-01-21,76.38182830810547,76.97295847341564,76.24429727052916,76.53142037146344,110843200.0,AAPL,-0.0067769006795650455,0.012206422725071978,74.43729224571815,74.43729224571815,74.43729224571815,43.27203855405129,1.0234009352419662,0.6533188912326406,0.37008204400932554,,,,,,,,,,,,,,,
2020-01-22,76.65444946289062,77.20697385138125,76.56034698568028,76.86676909750412,101832400.0,AAPL,0.003569188651592281,0.011689374867992477,74.59566061837333,74.59566061837333,74.59566061837333,44.782732269914284,1.0775011803267347,0.7381553490514595,0.3393458312752752,,,,,,,,,,,,,,,
2020-01-23,77.02362060546875,77.1032395625604,76.15983628507468,76.70754520066748,104472000.0,AAPL,0.004816043232517719,0.011231359793786993,74.75752461751303,74.75752461751303,74.75752461751303,46.84697199592766,1.1370577463358273,0.8179358285083331,0.3191219178274942,,,,,,,,,,,,,,,
2020-01-24,76.8016357421875,78.01285552986269,76.61102297800898,77.26971830945405,146537600.0,AAPL,-0.0028820362057284665,0.010985905008659662,74.88528156280518,74.88528156280518,74.88528156280518,45.73968876390422,1.1530527562939028,0.8849592140654472,0.2680935422284556,,,,,,,,,,,,,,,
2020-01-27,74.54328155517578,75.22368393993314,73.56127252486844,74.81109818347939,161940000.0,AAPL,-0.029405027187086263,0.013495109050992217,74.86516391529756,74.86516391529756,74.86516391529756,36.331364383606555,0.9722906465416656,0.9024255005606909,0.06986514598097471,,,,,,,,,,,,,,,
2020-01-28,76.65206909179688,76.82337543965487,75.32503211623879,75.42395757437212,162234000.0,AAPL,0.028289437929563066,0.01455509777460494,74.96443642510309,74.96443642510309,74.96443642510309,47.24372387121919,0.9878100432862738,0.9195024091058075,0.06830763418046626,,,,,,,,,,,,,,,
2020-01-29,78.25656127929688,79.1034543464979,77.54237630271076,78.28310584272509,216229200.0,AAPL,0.020932144513652995,0.014712319316613421,75.13770615427117,75.13770615427117,75.13770615427117,53.74031135011623,1.116705699074359,0.9589430670995178,0.15776263197484108,,,,,,,,,,,,,,,
2020-01-30,78.14314270019531,78.196224452265,76.90779359376785,77.33968569636842,126743200.0,AAPL,-0.0014493171850060715,0.014360220078858186,75.28797798156738,75.28797798156738,75.28797798156738,53.24120816790048,1.1959186971672011,1.0063381931130546,0.1895805040541465,,,,,,,,,,,,,,,
